Well_ID;Rec_ID;Week;Sex;Gr_size;Arena;N_comp;N_females;F1_ID;N_MTP1_1;N_RD_1;F2_ID;N_MTP1_2;N_RD_2;F3_ID;N_MTP1_3;N_RD_3;F4_ID;N_MTP1_4;N_RD_4;F5_ID;N_MTP1_5;N_RD_5;F6_ID;N_MTP1_6;N_RD_6;MatingDuration_av;Matings_number;MatingPartners_number;AttemptDuration_av;Attempts_number;AttemptPartners_number;Cop_Fe_1;Cop_Fe_2;Cop_Fe_3;Cop_Fe_4;Cop_Fe_5;Cop_Fe_6;Body_mass_mg_focal;Mass_reproducibility_mg_focal;N_contact_WT;N_contact_RD;contacts_wt_ind;contacts_rd_ind;Total_N_MTP1;Total_N_Rd;m_prop_RS;f_prop_RS;Prop_MS;Total_Encounters;Treatment;gMS;m_RS_Rd_comp;m_RS_Rd_comp_full;m_TotMatings;m_MatingDuration_av;m_Attempts_number;m_Prop_MS;m_Total_Encounters;m_RS;m_cMS;m_meanCop;m_InSuc;m_feSuc;m_PS;m_pFec;m_pFec_compl;f_TotMatings;f_MatingDuration_av;f_Attempts_number;f_Prop_MS;f_Total_Encounters;f_RS;f_cMS;f_meanCop;meanCop;f_fec_pMate
51;V09;1;F;SG;Small;2;3;226;114;0;227;0;101;228;0;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;62.5;2;2;13.5;4;2;NA;NA;NA;NA;NA;NA;2.09;NA;130;83;43.33333333;41.5;114;71.5;NA;61.45552561;0.333333333;6;D = 0.67;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;62.5;4;0.333333333;6;114;2;1;1;57
52;V09;1;M;LG;Small;5;6;229;54;0;230;0;0;231;0;0;232;77;0;233;0;101;234;0;0;63.83;6;2;13.23;13;6;4;0;0;2;0;0;1.96;NA;236;229;39.33333333;45.8;131;20.2;86.64021164;NA;0.315789474;19;D = 1.33;2;0;0;6;63.83;13;0.315789474;19;131;2;3;1;1;1;65.5;65.5;NA;NA;NA;NA;NA;NA;NA;NA;3;NA
53;V09;1;F;SG;Small;2;3;235;0;0;236;0;101;237;0;77;NA;NA;NA;NA;NA;NA;NA;NA;NA;100.25;4;1;18.5;12;3;NA;NA;NA;NA;NA;NA;2.09;NA;155;80;51.66666667;40;0;89;NA;0;0.25;16;D = 0.67;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;100.25;12;0.25;16;0;1;4;4;0
54;V09;1;M;LG;Small;5;6;238;0;93;239;0;104;240;0;0;241;0;0;242;0;136;243;0;74;42;2;2;20;2;1;1;1;0;0;0;0;1.66;NA;142;125;23.66666667;25;0;81.4;0;NA;0.5;4;D = 1.33;0;0;197;2;42;2;0.5;4;0;2;1;0;NA;NA;NA;98.5;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
55;V10;1;F;SG;Large;2;3;245;85;0;246;0;81;247;0;47;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;2;2;19.4;5;2;NA;NA;NA;NA;NA;NA;1.98;NA;129;74;43;37;85;64;NA;57.04697987;0.285714286;7;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;60;5;0.285714286;7;85;2;1;1;42.5
56;V10;1;M;LG;Large;5;6;248;52;33;249;0;78;250;0;0;251;0;0;252;0;0;253;0;76;54.5;2;2;26.33;3;2;1;1;0;0;0;0;2;NA;147;142;24.5;28.4;52;37.4;58.1655481;NA;0.4;5;D = 0.52;1;33;111;2;54.5;3;0.4;5;52;2;1;0.5;0.611764706;0.305882353;85;81.5;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
57;V10;1;F;SG;Large;2;3;254;60;0;255;0;0;256;0;61;NA;NA;NA;NA;NA;NA;NA;NA;NA;75.75;8;3;13.11;9;3;NA;NA;NA;NA;NA;NA;2.35;NA;104;57;34.66666667;28.5;60;30.5;NA;66.29834254;0.470588235;17;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;75.75;9;0.470588235;17;60;3;2.666666667;2.666666667;20
58;V10;1;M;LG;Large;5;6;257;0;0;258;21;81;259;0;93;260;0;0;261;0;0;262;0;0;77;3;1;17.75;8;4;0;3;0;0;0;0;2.24;NA;191;168;31.83333333;33.6;21;34.8;37.6344086;NA;0.272727273;11;D = 0.52;1;81;81;3;77;8;0.272727273;11;21;1;3;1;0.205882353;0.205882353;102;102;NA;NA;NA;NA;NA;NA;NA;NA;3;NA
59;V10;1;M;LG;Large;5;6;263;0;0;264;0;0;265;25;82;266;0;0;267;0;0;268;0;0;52;2;2;20.6;5;3;0;1;1;0;0;0;1.79;NA;140;131;23.33333333;26.2;25;16.4;60.38647343;NA;0.285714286;7;D = 0.52;1;82;82;2;52;5;0.285714286;7;25;2;1;0.5;0.23364486;0.11682243;107;53.5;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
60;V10;1;F;SG;Large;2;3;269;136;0;270;0;0;271;0;85;NA;NA;NA;NA;NA;NA;NA;NA;NA;74.8;5;3;12.53;15;3;NA;NA;NA;NA;NA;NA;2.36;NA;102;30;34;15;136;42.5;NA;76.19047619;0.25;20;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;74.8;15;0.25;20;136;3;1.666666667;1.666666667;45.33333333
